service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AIX-SCOL_26_V1-INEO-JAN-Dimanche-02,0,0,0,0,0,0,1,20260111,20260705
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,0,0,0,1,0,0,0,20260108,20260702
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02-0001000,0,0,0,1,0,0,0,20260108,20260702
AIX-SCOL_26_V1-INEO-JAN-Lundi-03,1,0,0,0,0,0,0,20260105,20260629
AIX-SCOL_26_V1-INEO-JAN-Lundi-03-1000000,1,0,0,0,0,0,0,20260105,20260629
AIX-SCOL_26_V1-INEO-JAN-Mardi-02,0,1,0,0,0,0,0,20260106,20260630
AIX-SCOL_26_V1-INEO-JAN-Mardi-02-0100000,0,1,0,0,0,0,0,20260106,20260630
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,0,0,1,0,0,0,0,20260107,20260701
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02-0010000,0,0,1,0,0,0,0,20260107,20260701
AIX-SCOL_26_V1-INEO-JAN-Samedi-02,0,0,0,0,0,1,0,20260110,20260704
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,0,0,0,0,1,0,0,20260109,20260703
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02-0000100,0,0,0,0,1,0,0,20260109,20260703
AIX-VAC_26_V1-INEO-PVS-Jeudi-03,0,0,0,0,0,0,0,20260219,20260423
AIX-VAC_26_V1-INEO-PVS-Lundi-02,0,0,0,0,0,0,0,20260216,20260420
AIX-VAC_26_V1-INEO-PVS-Mardi-03,0,0,0,0,0,0,0,20260217,20260421
AIX-VAC_26_V1-INEO-PVS-Mercredi-04,0,0,0,0,0,0,0,20260218,20260422
AIX-VAC_26_V1-INEO-PVS-Mercredi-04-0010000,0,0,0,0,0,0,0,20260218,20260422
AIX-VAC_26_V1-INEO-PVS-Vendredi-04,0,0,0,0,0,0,0,20260220,20260424
