service_id,date,exception_type
AIX-SCOL_26_V1-INEO-JAN-Dimanche-02,20260406,1
AIX-SCOL_26_V1-INEO-JAN-Dimanche-02,20260508,1
AIX-SCOL_26_V1-INEO-JAN-Dimanche-02,20260514,1
AIX-SCOL_26_V1-INEO-JAN-Dimanche-02,20260525,1
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,20260219,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,20260226,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,20260416,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,20260423,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,20260514,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02-0001000,20260219,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02-0001000,20260226,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02-0001000,20260416,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02-0001000,20260423,2
AIX-SCOL_26_V1-INEO-JAN-Jeudi-02-0001000,20260514,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03,20260216,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03,20260223,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03,20260406,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03,20260413,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03,20260420,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03,20260525,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03-1000000,20260216,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03-1000000,20260223,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03-1000000,20260406,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03-1000000,20260413,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03-1000000,20260420,2
AIX-SCOL_26_V1-INEO-JAN-Lundi-03-1000000,20260525,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02,20260217,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02,20260224,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02,20260414,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02,20260421,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02-0100000,20260217,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02-0100000,20260224,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02-0100000,20260414,2
AIX-SCOL_26_V1-INEO-JAN-Mardi-02-0100000,20260421,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,20260218,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,20260225,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,20260415,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,20260422,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02-0010000,20260218,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02-0010000,20260225,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02-0010000,20260415,2
AIX-SCOL_26_V1-INEO-JAN-Mercredi-02-0010000,20260422,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,20260220,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,20260227,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,20260417,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,20260424,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,20260501,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,20260508,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02-0000100,20260220,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02-0000100,20260227,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02-0000100,20260417,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02-0000100,20260424,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02-0000100,20260501,2
AIX-SCOL_26_V1-INEO-JAN-Vendredi-02-0000100,20260508,2
AIX-VAC_26_V1-INEO-PVS-Jeudi-03,20260219,1
AIX-VAC_26_V1-INEO-PVS-Jeudi-03,20260226,1
AIX-VAC_26_V1-INEO-PVS-Jeudi-03,20260416,1
AIX-VAC_26_V1-INEO-PVS-Jeudi-03,20260423,1
AIX-VAC_26_V1-INEO-PVS-Lundi-02,20260216,1
AIX-VAC_26_V1-INEO-PVS-Lundi-02,20260223,1
