route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
AIX-A,AIX,A,P+R KRYPTON<>SAINT MITRE,8099,3,,e94e1b,ffffff,,,
AIX-M2,AIX,M2,CITÉ U<>ROT MIRABEAU-HÔPITAL TAMARIS,8052,3,,e94e1b,ffffff,,,
AIX-4042,AIX,8404-2,8404-2:Roi René>Luynes/SCOLAIRE,8257,3,,e94e1b,ffffff,,,
AIX-3056,AIX,8305-6,8305-6:Aérodrome>S. Germain>Duranne/SCOLAIRE,8214,3,,e94e1b,ffffff,,,
AIX-06,AIX,06,PARKING 3 BONS DIEUX<>EUROPE-CEZANNE,8006,3,,e94e1b,ffffff,,,
AIX-3031,AIX,8303-1,8303-1: Puyricard > Silvacane / SCOLAIRE,8221,3,,e94e1b,ffffff,,,
AIX-26,AIX,26,COMPLEXE SPORTIF<>G.R MOURET,8026,3,,e94e1b,ffffff,,,
AIX-3055,AIX,8305-5,8305-5:Les Milles<>Sophie Germain/SCOLAIRE,8215,3,,e94e1b,ffffff,,,
AIX-09,AIX,09,MAGNAN<>CIAM,8009,3,,e94e1b,ffffff,,,
AIX-3032,AIX,8303-2,8303-2:Puyricard<>Aix-centre/SCOLAIRE,8222,3,,e94e1b,ffffff,,,
AIX-26SP,AIX,26SP,COMPLEXE SPORTIF <> SILVACANE,8295,3,,e94e1b,ffffff,,,
AIX-03,AIX,03,VAL ST ANDRÉ<>GRANDE BASTIDE,8003,3,,e94e1b,ffffff,,,
AIX-09SP,AIX,09SP,CHÂTEAU GALICE<>SAINT-ANNE,8063,3,,e94e1b,ffffff,,,
AIX-12SP,AIX,12SP,COUTERON<>ROTONDE TOUR DE VILLE,8065,3,,e94e1b,ffffff,,,
AIX-M3,AIX,M3,CHEVALIÈRE-BEAUVALLON<>PISCINE Y. BLANC,8053,3,,e94e1b,ffffff,,,
AIX-10SP,AIX,10SP,ROTONDE-TOUR DE VILLE<>PONT ARC-MAIRIE,8064,3,,e94e1b,ffffff,,,
AIX-3014,AIX,8301-4,8301-4:Les Milles-Le Serre / SCOLAIRE,8234,3,,e94e1b,ffffff,,,
