shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
030039,43.516033,5.471529,1,
030039,43.514626,5.470117,2,
030039,43.515491,5.468707,3,
030039,43.518173,5.464067,4,
030039,43.519699,5.461402,5,
030039,43.521328,5.458662,6,
030039,43.523022,5.456153,7,
030039,43.524746,5.454524,8,
030039,43.528027,5.45519,9,
030039,43.529354,5.453794,10,
030039,43.531696,5.451636,11,
030039,43.53265,5.448878,12,
030039,43.532204,5.445223,13,
030039,43.531307,5.441679,14,
030039,43.530766,5.439666,15,
030039,43.529095,5.436512,16,
030039,43.530403,5.43508,17,
030039,43.531582,5.431959,18,
030039,43.532009,5.430098,19,
030039,43.532696,5.426717,20,
030039,43.532104,5.423168,21,
030039,43.532108,5.421184,22,
030039,43.532368,5.41712,23,
030039,43.533588,5.41606,24,
030039,43.534931,5.41505,25,
030039,43.535393,5.414192,26,
030039,43.536335,5.411713,27,
030039,43.538414,5.411636,28,
030039,43.536465,5.409251,29,
030039,43.533806,5.408175,30,
030039,43.53167,5.407846,31,
030039,43.531235,5.409383,32,
030039,43.530064,5.40941,33,
030047,43.530064,5.40941,1,
030047,43.528721,5.406595,2,
030047,43.531322,5.40941,3,
030047,43.531849,5.407985,4,
030047,43.534153,5.408341,5,
030047,43.536404,5.40929,6,
030047,43.538414,5.411636,7,
030047,43.536362,5.411599,8,
030047,43.535355,5.414147,9,
030047,43.534744,5.415396,10,
030047,43.533489,5.415961,11,
030047,43.532211,5.417537,12,
030047,43.532017,5.421313,13,
030047,43.53204,5.424486,14,
030047,43.532703,5.427285,15,
030047,43.531822,5.430356,16,
030047,43.531586,5.431485,17,
030047,43.530384,5.434649,18,
030047,43.529026,5.438655,19,
030047,43.528625,5.440062,20,
030047,43.527966,5.44154,21,
030047,43.52663,5.444524,22,
030047,43.523891,5.447196,23,
030047,43.523949,5.449867,24,
030047,43.524738,5.45396,25,
030047,43.52298,5.455983,26,
030047,43.521236,5.458684,27,
030047,43.519466,5.461668,28,
030047,43.517311,5.465274,29,
030047,43.515415,5.468589,30,
030047,43.514984,5.470619,31,
030047,43.516033,5.471529,32,
03SP0012,43.52663,5.444524,1,
03SP0012,43.523891,5.447196,2,
03SP0012,43.523949,5.449867,3,
03SP0012,43.525112,5.454585,4,
03SP0012,43.528027,5.45519,5,
03SP0012,43.529354,5.453794,6,
03SP0012,43.531696,5.451636,7,
03SP0012,43.53265,5.448878,8,
03SP0012,43.532204,5.445223,9,
03SP0012,43.531307,5.441679,10,
03SP0012,43.530766,5.439666,11,
03SP0012,43.529095,5.436512,12,
03SP0012,43.530403,5.43508,13,
03SP0012,43.531582,5.431959,14,
03SP0012,43.532009,5.430098,15,
03SP0012,43.532696,5.426717,16,
03SP0012,43.532104,5.423168,17,
03SP0012,43.532108,5.421184,18,
03SP0012,43.532368,5.41712,19,
03SP0012,43.533588,5.41606,20,
03SP0012,43.534931,5.41505,21,
