stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
AIX-21230,21230,08 mai 1945,08 mai 1945,43.522903,5.432906,,,0,,,0,,
AIX-24090,24090,08 mai 1945,08 mai 1945,43.523029,5.433076,,,0,,,0,,
AIX-30028,30028,4 Dauphins,4 Dauphins,43.525291,5.44954,,,0,,,0,,
AIX-25379,25379,A 04,A 04,43.535694,5.39353,,,0,,,0,,
AIX-24478,24478,A 05,A 05,43.545952,5.392105,,,0,,,0,,
AIX-21661,21661,Abbé Roustan,Abbé Roustan,43.581135,5.411481,,,0,,,0,,
AIX-25519,25519,Abbé Roustan,Abbé Roustan,43.580776,5.41147,,,0,,,0,,
AIX-22970,22970,Adm Zola,Adm Zola,43.511391,5.461491,,,0,,,0,,
AIX-24959,24959,Adm Zola,Adm Zola,43.511623,5.4615,,,0,,,0,,
AIX-25840,25840,Adm Zola Quai 1,Adm Zola,43.51173,5.461556,,,0,,,0,,
AIX-26256,26256,Aire D'Accueil Des Gens Du Voyage,Aire d'Accueil,43.458923,5.305544,,,0,,,0,,
AIX-21346,21346,Alexis,Alexis,43.535843,5.445974,,,0,,,0,,
AIX-22498,22498,Alexis,Alexis,43.535946,5.446146,,,0,,,0,,
AIX-24418,24418,Allées du Parc,Allées du Parc,43.597897,5.485406,,,0,,,0,,
AIX-21662,21662,Amadour,Amadour,43.533176,5.427018,,,0,,,0,,
AIX-25520,25520,Amadour,Amadour,43.533047,5.426927,,,0,,,0,,
AIX-20405,20405,Amandiers,Amandiers,43.537994,5.453169,,,0,,,0,,
AIX-22499,22499,Ampère,Ampère,43.486279,5.379583,,,0,,,0,,
AIX-25521,25521,Ampère,Ampère,43.486584,5.37953,,,0,,,0,,
AIX-39477,39477,Anc. Combattants,Anc. Combattants,43.600941,5.47782,,,0,,,0,,
AIX-20284,20284,Angenot,Angenot,43.50914,5.392302,,,0,,,0,,
AIX-35133,35133,Angenot,Angenot,43.509007,5.392655,,,0,,,0,,
AIX-20861,20861,Arago,Arago,43.491943,5.355204,,,0,,,0,,
AIX-25522,25522,Arago,Arago,43.492485,5.35534,,,0,,,0,,
AIX-20002,20002,Arc Meyran Zola,Arc Meyran Zola,43.512012,5.462,,,0,,,0,,
AIX-20811,20811,Arcades Platanes,Arcades,43.559635,5.461616,,,0,,,0,,
AIX-26268,26268,Arcades Platanes,Arcades,43.559299,5.461347,,,0,,,0,,
AIX-20017,20017,Archimède,Archimède,43.491631,5.339328,,,0,,,0,,
AIX-24639,24639,Archimède,Archimède,43.49147,5.33888,,,0,,,0,,
AIX-22734,22734,Archives,Archives,43.527023,5.438964,,,0,,,0,,
AIX-23681,23681,Armand,Armand,43.488945,5.382447,,,0,,,0,,
AIX-22500,22500,Armée  d'Afrique,Armée d'Afrique,43.513927,5.454892,,,0,,,0,,
AIX-25523,25523,Armée  d'Afrique,Armée d'Afrique,43.51403,5.454944,,,0,,,0,,
AIX-20363,20363,Arts et Metiers,Arts et Métiers,43.529747,5.454009,,,0,,,0,,
AIX-26549,26549,Arts et Metiers,Arts et Métiers,43.529865,5.453839,,,0,,,0,,
AIX-23141,23141,Atelier Cezanne,Atelier Cezanne,43.539909,5.446025,,,0,,,0,,
AIX-24479,24479,Atelier Cezanne,Atelier Cezanne,43.539856,5.445938,,,0,,,0,,
AIX-23682,23682,Aubepines,Aubepines,43.511887,5.421464,,,0,,,0,,
AIX-24091,24091,Aubepines,Aubepines,43.511909,5.421708,,,0,,,0,,
AIX-20018,20018,Auriol,Auriol,43.53698,5.446766,,,0,,,0,,
AIX-23270,23270,Avon,Avon,43.563667,5.420484,,,0,,,0,,
AIX-25524,25524,Avon,Avon,43.563572,5.420589,,,0,,,0,,
AIX-25872,25872,Aérodrome,Aérodrome,43.502949,5.373461,,,0,,,0,,
AIX-20862,20862,Badesse,Badesse,43.502956,5.376206,,,0,,,0,,
AIX-22975,22975,Badesse,Badesse,43.50304,5.375972,,,0,,,0,,
AIX-21658,21658,Bagatelle,Bagatelle,43.536465,5.409251,,,0,,,0,,
AIX-24637,24637,Bagatelle,Bagatelle,43.536404,5.40929,,,0,,,0,,
AIX-24134,24134,Beaufort,Beaufort,43.569546,5.433105,,,0,,,0,,
AIX-25525,25525,Beaufort,Beaufort,43.569786,5.433176,,,0,,,0,,
AIX-24135,24135,Beauregard,Beauregard,43.537788,5.472951,,,0,,,0,,
AIX-25526,25526,Beauregard,Beauregard,43.537834,5.473375,,,0,,,0,,
AIX-20863,20863,Beausoleil,Beausoleil,43.514362,5.464199,,,0,,,0,,
AIX-23808,23808,Beausoleil,Beausoleil,43.514275,5.462827,,,0,,,0,,
AIX-20406,20406,Beauvallon,Beauvallon,43.54398,5.438287,,,0,,,0,,
AIX-22501,22501,Beauvoisin,Beauvoisin,43.508175,5.408162,,,0,,,0,,
AIX-24640,24640,Beauvoisin,Beauvoisin,43.508236,5.408048,,,0,,,0,,
AIX-20407,20407,Beisson,Beisson,43.539772,5.44774,,,0,,,0,,
AIX-24092,24092,Beisson,Beisson,43.539703,5.447765,,,0,,,0,,
AIX-23809,23809,Bel  Ormeau,Bel Ormeau,43.513706,5.457813,,,0,,,0,,
AIX-24136,24136,Bel  Ormeau,Bel Ormeau,43.513748,5.458941,,,0,,,0,,
AIX-22502,22502,Bellegarde,Bellegarde,43.531696,5.451637,,,0,,,0,,
AIX-24641,24641,Bellegarde,Bellegarde,43.53236,5.452076,,,0,,,0,,
AIX-22191,22191,Bellevue,Bellevue,43.541386,5.441837,,,0,,,0,,
