route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,AIX-3257311-SCOL_26_V1-INEO-JAN-Jeudi-02,Val Saint André,11765,1,951390,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Lundi-03,AIX-3257311-SCOL_26_V1-INEO-JAN-Lundi-03,Val Saint André,11765,1,954502,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mardi-02,AIX-3257311-SCOL_26_V1-INEO-JAN-Mardi-02,Val Saint André,11765,1,951052,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,AIX-3257311-SCOL_26_V1-INEO-JAN-Mercredi-02,Val Saint André,11765,1,951882,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,AIX-3257311-SCOL_26_V1-INEO-JAN-Vendredi-02,Val Saint André,11765,1,951628,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,AIX-3257312-SCOL_26_V1-INEO-JAN-Jeudi-02,Grande Bastide,11289,0,951391,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Lundi-03,AIX-3257312-SCOL_26_V1-INEO-JAN-Lundi-03,Grande Bastide,11289,0,954503,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mardi-02,AIX-3257312-SCOL_26_V1-INEO-JAN-Mardi-02,Grande Bastide,11289,0,951053,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,AIX-3257312-SCOL_26_V1-INEO-JAN-Mercredi-02,Grande Bastide,11289,0,951883,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,AIX-3257312-SCOL_26_V1-INEO-JAN-Vendredi-02,Grande Bastide,11289,0,951629,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,AIX-3257313-SCOL_26_V1-INEO-JAN-Jeudi-02,Val Saint André,11849,1,951428,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Lundi-03,AIX-3257313-SCOL_26_V1-INEO-JAN-Lundi-03,Val Saint André,11849,1,954532,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mardi-02,AIX-3257313-SCOL_26_V1-INEO-JAN-Mardi-02,Val Saint André,11849,1,951190,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,AIX-3257313-SCOL_26_V1-INEO-JAN-Mercredi-02,Val Saint André,11849,1,951899,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,AIX-3257313-SCOL_26_V1-INEO-JAN-Vendredi-02,Val Saint André,11849,1,951666,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,AIX-3257314-SCOL_26_V1-INEO-JAN-Jeudi-02,Grande Bastide,11851,0,951390,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Lundi-03,AIX-3257314-SCOL_26_V1-INEO-JAN-Lundi-03,Grande Bastide,11851,0,954502,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mardi-02,AIX-3257314-SCOL_26_V1-INEO-JAN-Mardi-02,Grande Bastide,11851,0,951052,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Mercredi-02,AIX-3257314-SCOL_26_V1-INEO-JAN-Mercredi-02,Grande Bastide,11851,0,951882,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Vendredi-02,AIX-3257314-SCOL_26_V1-INEO-JAN-Vendredi-02,Grande Bastide,11851,0,951628,030039,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Jeudi-02,AIX-3257315-SCOL_26_V1-INEO-JAN-Jeudi-02,Val Saint André,11852,1,951391,030047,0,0
AIX-03,AIX-SCOL_26_V1-INEO-JAN-Lundi-03,AIX-3257315-SCOL_26_V1-INEO-JAN-Lundi-03,Val Saint André,11852,1,954503,030047,0,0
